ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
0009-9147	CLINICAL CHEMISTRY	CLIN CHEM	8.636	是	1区	医学	医学实验技术		http://clinchem.aaccjnls.org/content/early/recent
0009-7330	CIRCULATION RESEARCH	CIRC RES	15.211	否	1区	医学	心脏和心血管系统		https://www.ahajournals.org/toc/res/0/0
0305-7372	CANCER TREATMENT REVIEWS	CANCER TREAT REV	8.122	是	1区	医学	肿瘤学		https://www.cancertreatmentreviews.com/inpress
1078-0432	CLINICAL CANCER RESEARCH	CLIN CANCER RES	10.199	否	1区	医学	肿瘤学		http://clincancerres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
2326-6066	Cancer Immunology Research	CANCER IMMUNOL RES	9.188	是	1区	医学	免疫学		http://cancerimmunolres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
0003-4819	ANNALS OF INTERNAL MEDICINE	ANN INTERN MED	19.384	否	1区	医学	医学：内科		https://annals.org/aim/latest
0903-1936	EUROPEAN RESPIRATORY JOURNAL	EUR RESPIR J	12.244	否	1区	医学	呼吸系统		https://erj.ersjournals.com/content/early/recent
0022-1007	JOURNAL OF EXPERIMENTAL MEDICINE	J EXP MED	10.79	是	1区	医学	免疫学		http://jem.rupress.org/newest
0021-9738	JOURNAL OF CLINICAL INVESTIGATION	J CLIN INVEST	13.251	是	1区	医学	医学：研究与实验		http://www.jci.org/
0091-6749	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	J ALLERGY CLIN IMMUN	13.258	是	1区	医学	过敏		https://www.jacionline.org/inpress
1046-6673	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	J AM SOC NEPHROL	8.655	否	1区	医学	泌尿学与肾脏学		https://jasn.asnjournals.org/content/early/recent
